EmployeeID,EmployeeName,City,Role,Department,Gender,Age,JoiningDate,EmploymentStatus,Salary,Shift
EMP0037,Anjali Saha,Hyderabad,Helper,Operations,Female,36,2022-05-13,Active,24282,General
EMP0038,Deepak Nair,Hyderabad,Helper,Operations,Male,51,2026-02-12,Active,20372,General
EMP0039,Ankit Patel,Hyderabad,AC Technician,Operations,Male,45,2023-05-03,Active,37430,Morning
EMP0040,Suresh Roy,Hyderabad,Helper,Operations,Male,50,2025-03-17,Active,19671,Evening
EMP0041,Sneha Gupta,Hyderabad,Helper,Operations,Female,40,2023-11-15,Active,21266,Morning
EMP0042,Rohit Nair,Hyderabad,AC Technician,Operations,Male,40,2022-09-17,Active,37642,Morning
EMP0043,Anjali Singh,Hyderabad,WM Technician,Operations,Male,26,2020-07-26,Active,26377,Evening
EMP0044,Priya Singh,Hyderabad,RF Technician,Operations,Female,30,2023-09-03,Active,37464,General
EMP0045,Deepak Nair,Hyderabad,RF Technician,Operations,Male,51,2025-10-09,Active,35648,Evening
EMP0046,Kiran Saha,Hyderabad,Helper,Operations,Male,45,2025-09-01,Active,21745,Morning
EMP0047,Kavya Das,Hyderabad,AC Technician,Operations,Male,23,2023-02-26,Active,38108,General
EMP0048,Sneha Reddy,Hyderabad,AC Technician,Operations,Male,26,2024-10-31,Active,32194,Evening
EMP0049,Kiran Roy,Hyderabad,Helper,Operations,Male,45,2020-07-28,Active,22671,General
EMP0050,Rohit Saha,Hyderabad,RF Technician,Operations,Male,24,2024-05-01,Active,36261,Evening
EMP0051,Sneha Roy,Hyderabad,Helper,Operations,Male,27,2021-06-11,Active,18792,Evening
EMP0052,Pooja Gupta,Hyderabad,AC Technician,Operations,Male,43,2021-08-13,Active,33261,General
EMP0053,Neha Patel,Hyderabad,RF Technician,Operations,Male,22,2021-07-15,Active,33456,Evening
EMP0054,Priya Patel,Hyderabad,AC Technician,Operations,Male,52,2021-07-26,Active,35373,General
EMP0055,Kavya Saha,Hyderabad,RF Technician,Operations,Male,39,2023-10-09,Active,36311,General
EMP0056,Amit Reddy,Hyderabad,Helper,Operations,Male,21,2024-02-17,Active,20713,General
EMP0057,Arjun Kumar,Hyderabad,RF Technician,Operations,Male,21,2025-04-27,Active,32350,General
EMP0058,Pooja Patel,Hyderabad,WM Technician,Operations,Male,30,2025-11-17,Active,29152,General
EMP0059,Amit Singh,Hyderabad,AC Technician,Operations,Female,35,2020-05-09,Active,39380,General
EMP0060,Kiran Reddy,Hyderabad,Helper,Operations,Male,40,2024-09-11,Active,19240,Evening
EMP0061,Kiran Gupta,Hyderabad,AC Technician,Operations,Male,50,2020-09-12,Active,41563,Morning
EMP0062,Vijay Nair,Hyderabad,WM Technician,Operations,Male,50,2025-11-22,Active,27086,Evening
EMP0063,Rohit Saha,Hyderabad,RF Technician,Operations,Female,41,2026-02-15,Active,33804,General
EMP0064,Arjun Das,Hyderabad,WM Technician,Operations,Male,35,2023-02-16,Active,28571,Evening
EMP0065,Sneha Gupta,Hyderabad,AC Technician,Operations,Male,33,2025-06-25,Active,35194,Evening
EMP0066,Pooja Reddy,Hyderabad,Helper,Operations,Female,37,2023-03-24,Active,18998,General
EMP0067,Ravi Roy,Hyderabad,RF Technician,Operations,Male,29,2023-04-04,Active,28689,Evening
EMP0068,Rohit Gupta,Hyderabad,AC Technician,Operations,Female,36,2025-05-16,Active,33505,Morning
EMP0069,Arjun Singh,Hyderabad,WM Technician,Operations,Male,28,2021-03-23,Active,29043,General
EMP0070,Amit Reddy,Hyderabad,RF Technician,Operations,Male,53,2022-07-13,Active,31814,Morning
EMP0071,Rahul Gupta,Hyderabad,Helper,Operations,Male,50,2021-02-15,Active,23580,Morning
EMP0072,Kavya Singh,Hyderabad,WM Technician,Operations,Female,30,2024-07-24,Active,29348,Evening
EMP0073,Ankit Sharma,Hyderabad,WM Technician,Operations,Male,38,2023-08-08,Active,26338,General
EMP0074,Ankit Patel,Hyderabad,Helper,Operations,Male,34,2025-12-31,Active,24051,General
EMP0075,Kavya Patel,Hyderabad,Helper,Operations,Male,31,2020-05-28,Active,24850,Evening
EMP0076,Amit Roy,Hyderabad,RF Technician,Operations,Female,38,2020-06-02,Active,28151,Evening
EMP0077,Neha Das,Hyderabad,WM Technician,Operations,Male,54,2025-11-17,Active,28046,Morning
EMP0078,Neha Das,Hyderabad,AC Technician,Operations,Male,27,2023-09-16,Active,32662,General
EMP0079,Kiran Patel,Hyderabad,WM Technician,Operations,Male,20,2023-10-12,Active,30477,Evening
EMP0080,Ravi Reddy,Hyderabad,AC Technician,Operations,Male,45,2024-10-17,Active,38442,Evening
EMP0081,Arjun Kumar,Hyderabad,AC Technician,Operations,Male,31,2021-07-29,Active,37822,Evening
EMP0082,Priya Das,Hyderabad,WM Technician,Operations,Male,35,2025-01-03,Active,30174,Evening
EMP0083,Arjun Kumar,Hyderabad,AC Technician,Operations,Male,20,2022-12-07,Active,40709,Evening
EMP0084,Deepak Sharma,Hyderabad,Helper,Operations,Male,49,2023-06-10,Active,19308,Evening
EMP0085,Suresh Nair,Hyderabad,RF Technician,Operations,Male,38,2024-02-14,Active,31618,Morning
EMP0086,Kavya Gupta,Hyderabad,AC Technician,Operations,Male,43,2024-08-30,Active,41500,General
EMP0087,Ravi Gupta,Hyderabad,Helper,Operations,Male,33,2022-10-10,Active,23573,General
EMP0088,Ankit Gupta,Hyderabad,Helper,Operations,Male,43,2020-11-15,Active,22621,Morning
EMP0089,Vijay Roy,Hyderabad,Helper,Operations,Female,32,2026-06-03,Active,22396,Morning
EMP0090,Kavya Sharma,Hyderabad,AC Technician,Operations,Female,48,2021-04-21,Active,41145,Morning
EMP0091,Anjali Nair,Hyderabad,Helper,Operations,Female,48,2020-08-15,Active,21714,Morning
EMP0092,Rahul Reddy,Hyderabad,Helper,Operations,Male,55,2025-03-08,Active,23511,Evening
EMP0093,Ankit Reddy,Hyderabad,RF Technician,Operations,Male,20,2022-06-11,Active,37475,Morning
EMP0094,Kavya Kumar,Hyderabad,WM Technician,Operations,Male,24,2026-01-25,Active,24493,Morning
EMP0095,Anjali Roy,Hyderabad,Helper,Operations,Male,31,2021-07-08,Active,24273,General
EMP0096,Ravi Gupta,Hyderabad,RF Technician,Operations,Female,44,2025-01-11,Active,34184,Evening
EMP0097,Pooja Gupta,Hyderabad,AC Technician,Operations,Male,42,2021-04-30,Active,32924,General
EMP0098,Neha Gupta,Hyderabad,RF Technician,Operations,Male,34,2020-01-15,Active,28372,Evening
EMP0099,Sneha Patel,Hyderabad,RF Technician,Operations,Male,44,2022-07-29,Active,32055,Evening
EMP0100,Rahul Singh,Hyderabad,AC Technician,Operations,Male,27,2020-05-11,Active,40816,Evening
EMP0101,Ankit Singh,Hyderabad,WM Technician,Operations,Male,26,2020-05-17,Active,27657,General
EMP0102,Kiran Kumar,Hyderabad,AC Technician,Operations,Male,45,2024-12-02,Active,33839,General
EMP0103,Priya Saha,Hyderabad,WM Technician,Operations,Male,38,2022-08-17,Active,30682,General
EMP0104,Arjun Reddy,Hyderabad,WM Technician,Operations,Male,40,2022-08-28,Active,26472,Morning
EMP0105,Vijay Reddy,Hyderabad,WM Technician,Operations,Male,23,2026-03-30,Active,31770,General
EMP0106,Pooja Gupta,Hyderabad,AC Technician,Operations,Male,23,2023-11-11,Active,40540,General
EMP0107,Pooja Patel,Hyderabad,WM Technician,Operations,Male,46,2024-07-30,Active,25222,Evening
EMP0108,Deepak Patel,Hyderabad,WM Technician,Operations,Male,50,2022-09-14,Active,30957,Morning
EMP0109,Suresh Reddy,Hyderabad,AC Technician,Operations,Male,23,2026-04-22,Active,36761,Evening
EMP0110,Neha Roy,Hyderabad,WM Technician,Operations,Male,33,2023-09-14,Active,29297,Morning
EMP0111,Ankit Sharma,Hyderabad,WM Technician,Operations,Male,32,2020-07-30,Active,26199,Evening
EMP0112,Priya Das,Hyderabad,Helper,Operations,Male,55,2022-06-07,Active,21927,Morning
EMP0113,Amit Nair,Hyderabad,AC Technician,Operations,Female,20,2022-05-17,Active,33113,General
EMP0114,Priya Das,Hyderabad,RF Technician,Operations,Female,33,2024-06-12,Active,31921,General
EMP0115,Sneha Gupta,Hyderabad,RF Technician,Operations,Male,54,2024-01-11,Active,33053,Evening
EMP0116,Kiran Roy,Hyderabad,RF Technician,Operations,Female,49,2021-02-07,Active,35692,Evening
EMP0117,Suresh Kumar,Hyderabad,WM Technician,Operations,Male,22,2026-04-23,Active,31078,Morning
EMP0118,Priya Singh,Hyderabad,WM Technician,Operations,Male,46,2023-04-24,Active,25248,Morning
EMP0119,Priya Das,Hyderabad,WM Technician,Operations,Male,35,2025-08-07,Active,28510,General
EMP0120,Sneha Patel,Hyderabad,AC Technician,Operations,Male,51,2025-07-02,Active,37550,Morning
EMP0121,Ankit Gupta,Hyderabad,WM Technician,Operations,Male,54,2025-06-23,Active,25507,General
EMP0122,Suresh Singh,Hyderabad,RF Technician,Operations,Male,24,2020-07-17,Active,28104,Evening
EMP0123,Neha Roy,Hyderabad,Helper,Operations,Male,29,2020-02-07,Active,19791,General
EMP0124,Anjali Kumar,Hyderabad,Helper,Operations,Male,50,2025-06-21,Active,18128,Morning
EMP0125,Anjali Patel,Hyderabad,Helper,Operations,Male,37,2026-01-03,Active,20348,Morning
EMP0126,Kiran Saha,Hyderabad,AC Technician,Operations,Male,26,2025-11-17,Active,32439,Morning
EMP0127,Sneha Reddy,Hyderabad,AC Technician,Operations,Male,42,2022-12-30,Active,36502,Morning
EMP0128,Ravi Kumar,Hyderabad,Helper,Operations,Male,35,2022-07-14,Active,20457,General
EMP0129,Ankit Kumar,Hyderabad,Helper,Operations,Male,44,2024-03-24,Active,22527,Evening
EMP0130,Priya Saha,Hyderabad,Helper,Operations,Male,25,2025-08-09,Active,24924,Evening
EMP0131,Kiran Saha,Hyderabad,RF Technician,Operations,Female,26,2025-12-03,Active,28697,Morning
EMP0132,Ankit Patel,Hyderabad,RF Technician,Operations,Male,22,2020-10-31,Active,32593,General
EMP0133,Suresh Reddy,Hyderabad,AC Technician,Operations,Female,40,2020-03-05,Active,33394,General
EMP0134,Pooja Gupta,Hyderabad,AC Technician,Operations,Female,39,2021-10-27,Active,39239,Morning
EMP0135,Sneha Kumar,Hyderabad,AC Technician,Operations,Male,28,2020-11-17,Active,38204,General
EMP0136,Pooja Roy,Hyderabad,WM Technician,Operations,Male,34,2020-11-07,Active,26790,General
EMP0137,Sneha Gupta,Hyderabad,Helper,Operations,Male,37,2025-01-19,Active,22019,Morning
EMP0138,Pooja Sharma,Hyderabad,WM Technician,Operations,Female,47,2022-01-30,Active,29568,General
EMP0139,Rohit Patel,Hyderabad,RF Technician,Operations,Male,38,2022-10-06,Active,29204,Morning
EMP0140,Amit Sharma,Hyderabad,AC Technician,Operations,Male,29,2024-05-14,Active,35188,Evening
EMP0141,Amit Patel,Hyderabad,WM Technician,Operations,Male,39,2024-12-26,Active,26948,Evening
EMP0142,Anjali Sharma,Hyderabad,RF Technician,Operations,Male,47,2025-01-12,Active,37125,General
EMP0143,Priya Reddy,Hyderabad,RF Technician,Operations,Male,42,2026-03-20,Active,29524,General
EMP0144,Arjun Saha,Hyderabad,Helper,Operations,Male,46,2024-05-07,Active,24382,Morning
EMP0145,Deepak Das,Hyderabad,WM Technician,Operations,Male,44,2021-11-25,Active,25137,Evening
EMP0146,Anjali Das,Hyderabad,RF Technician,Operations,Male,24,2021-11-15,Active,35121,Evening
EMP0147,Kavya Saha,Hyderabad,AC Technician,Operations,Male,24,2024-01-19,Active,34123,Morning
EMP0148,Rahul Reddy,Hyderabad,AC Technician,Operations,Male,49,2021-03-14,Active,32219,Evening
EMP0149,Anjali Saha,Hyderabad,Helper,Operations,Male,44,2023-09-11,Active,21606,Evening
EMP0150,Vijay Reddy,Hyderabad,AC Technician,Operations,Male,40,2022-04-02,Active,37848,Evening
EMP0151,Priya Reddy,Hyderabad,Helper,Operations,Female,38,2025-07-04,Active,22717,Morning
EMP0152,Kiran Saha,Hyderabad,Helper,Operations,Male,45,2024-02-04,Active,18932,General
EMP0153,Neha Singh,Hyderabad,WM Technician,Operations,Female,31,2026-03-03,Active,24220,General
EMP0154,Kavya Patel,Hyderabad,AC Technician,Operations,Male,38,2020-10-10,Active,36703,General
EMP0155,Anjali Reddy,Hyderabad,Helper,Operations,Male,35,2022-10-31,Active,23395,Morning
EMP0156,Anjali Gupta,Hyderabad,WM Technician,Operations,Male,50,2026-07-12,Active,27283,General
EMP0157,Ravi Sharma,Hyderabad,RF Technician,Operations,Male,43,2026-01-08,Active,37729,General
EMP0158,Ankit Saha,Hyderabad,Helper,Operations,Male,42,2021-11-12,Active,23300,General
EMP0159,Amit Kumar,Hyderabad,WM Technician,Operations,Female,45,2023-09-20,Active,31911,Evening
EMP0160,Arjun Nair,Hyderabad,RF Technician,Operations,Male,34,2025-09-22,Active,36499,General
EMP0161,Rahul Nair,Hyderabad,RF Technician,Operations,Male,49,2025-08-11,Active,30469,Evening
EMP0162,Suresh Roy,Hyderabad,Helper,Operations,Male,46,2020-12-17,Active,18950,General
EMP0163,Sneha Nair,Hyderabad,AC Technician,Operations,Male,49,2022-04-27,Active,38537,Evening
EMP0164,Ankit Sharma,Hyderabad,RF Technician,Operations,Male,48,2023-07-30,Active,29100,Evening
EMP0165,Arjun Gupta,Hyderabad,RF Technician,Operations,Male,41,2021-03-23,Active,30692,General
EMP0166,Neha Singh,Hyderabad,AC Technician,Operations,Male,30,2023-09-17,Active,39172,Evening
EMP0167,Anjali Reddy,Hyderabad,Helper,Operations,Male,31,2022-02-02,Active,23246,General
EMP0168,Pooja Kumar,Hyderabad,AC Technician,Operations,Male,32,2025-01-15,Active,39702,Evening
EMP0169,Ravi Saha,Hyderabad,Helper,Operations,Male,33,2023-02-14,Active,24163,General
EMP0170,Kiran Nair,Hyderabad,AC Technician,Operations,Male,54,2022-02-04,Active,35993,Evening
EMP0171,Pooja Saha,Hyderabad,AC Technician,Operations,Male,51,2025-12-01,Active,40471,Evening
EMP0172,Vijay Das,Hyderabad,WM Technician,Operations,Male,27,2023-11-26,Active,26883,Evening
EMP0173,Arjun Das,Hyderabad,AC Technician,Operations,Female,25,2021-07-02,Active,35131,Morning
EMP0174,Anjali Saha,Hyderabad,Helper,Operations,Male,43,2021-08-02,Active,22184,Evening
EMP0175,Vijay Gupta,Hyderabad,WM Technician,Operations,Male,44,2024-09-28,Active,25521,Evening
EMP0176,Neha Saha,Hyderabad,Helper,Operations,Male,38,2021-07-28,Active,19532,Evening
EMP0177,Kiran Reddy,Hyderabad,WM Technician,Operations,Male,42,2020-02-09,Active,27969,Morning
EMP0178,Kavya Reddy,Hyderabad,AC Technician,Operations,Female,52,2025-07-20,Active,36703,General
EMP0179,Rahul Singh,Hyderabad,RF Technician,Operations,Male,48,2025-06-24,Active,30740,Morning
EMP0180,Vijay Nair,Hyderabad,RF Technician,Operations,Male,37,2022-07-09,Active,36808,Evening
EMP0181,Amit Das,Hyderabad,WM Technician,Operations,Male,51,2026-03-01,Active,28184,Morning
EMP0182,Neha Gupta,Hyderabad,RF Technician,Operations,Male,43,2026-01-29,Active,28681,General
EMP0183,Arjun Das,Hyderabad,WM Technician,Operations,Male,47,2021-02-23,Active,30029,General
EMP0184,Ravi Nair,Hyderabad,AC Technician,Operations,Female,22,2025-01-16,Active,34305,Evening
EMP0185,Sneha Saha,Hyderabad,WM Technician,Operations,Female,27,2022-08-28,Active,25719,General
EMP0186,Kiran Kumar,Hyderabad,Helper,Operations,Male,30,2021-07-24,Active,24429,Morning
EMP0187,Vijay Roy,Hyderabad,AC Technician,Operations,Male,54,2023-02-25,Active,39778,General
EMP0188,Amit Patel,Hyderabad,Helper,Operations,Female,38,2023-03-31,Active,22691,Evening
EMP0189,Suresh Patel,Hyderabad,WM Technician,Operations,Female,46,2020-08-30,Active,26271,General
EMP0190,Kavya Patel,Hyderabad,AC Technician,Operations,Male,40,2022-10-10,Active,41079,Evening
EMP0191,Ravi Sharma,Hyderabad,WM Technician,Operations,Male,37,2024-08-23,Active,27073,Evening
EMP0192,Priya Saha,Hyderabad,WM Technician,Operations,Male,37,2024-02-20,Active,27724,Evening
EMP0193,Sneha Sharma,Hyderabad,Helper,Operations,Male,25,2025-02-20,Active,23200,General
EMP0194,Kavya Das,Hyderabad,Helper,Operations,Male,45,2022-06-11,Active,21519,Morning
EMP0195,Suresh Saha,Hyderabad,Helper,Operations,Male,38,2023-10-15,Active,22483,General
EMP0196,Neha Kumar,Hyderabad,WM Technician,Operations,Female,41,2020-07-17,Active,24376,Morning
EMP0197,Anjali Singh,Hyderabad,Helper,Operations,Male,30,2024-12-12,Active,21739,Morning
EMP0198,Ravi Roy,Hyderabad,Helper,Operations,Female,28,2023-05-21,Active,19302,Evening
EMP0199,Deepak Singh,Hyderabad,RF Technician,Operations,Male,43,2021-11-08,Active,28848,Evening
EMP0200,Kavya Sharma,Hyderabad,RF Technician,Operations,Male,25,2021-01-24,Active,28017,Morning
EMP0201,Rahul Kumar,Hyderabad,AC Technician,Operations,Male,34,2025-10-28,Active,41140,Evening
EMP0202,Ravi Singh,Hyderabad,RF Technician,Operations,Male,27,2024-09-25,Active,30165,Evening
EMP0203,Deepak Patel,Hyderabad,AC Technician,Operations,Male,26,2021-02-26,Active,35133,Evening
EMP0204,Rahul Saha,Hyderabad,WM Technician,Operations,Male,28,2021-08-08,Active,24560,General
EMP0205,Suresh Reddy,Hyderabad,Helper,Operations,Male,48,2023-12-09,Active,23918,Morning
EMP0206,Suresh Sharma,Hyderabad,WM Technician,Operations,Male,48,2022-06-08,Active,24710,Morning
EMP0207,Suresh Singh,Hyderabad,AC Technician,Operations,Male,44,2023-12-10,Active,37035,Evening
EMP0208,Deepak Kumar,Hyderabad,RF Technician,Operations,Male,25,2022-10-13,Active,37066,General
EMP0209,Kiran Reddy,Hyderabad,Helper,Operations,Female,39,2022-04-21,Active,22241,General
EMP0210,Amit Singh,Hyderabad,AC Technician,Operations,Male,23,2022-09-07,Active,38108,Evening
EMP0211,Priya Patel,Hyderabad,RF Technician,Operations,Male,24,2025-12-03,Active,28197,Evening
EMP0212,Vijay Nair,Hyderabad,AC Technician,Operations,Male,46,2024-02-05,Active,38951,General
EMP0213,Rahul Das,Hyderabad,Helper,Operations,Female,24,2020-03-09,Active,22811,Morning
EMP0214,Anjali Reddy,Hyderabad,WM Technician,Operations,Male,23,2024-06-18,Active,28150,Evening
EMP0215,Suresh Das,Hyderabad,RF Technician,Operations,Male,25,2026-01-06,Active,36808,General
EMP0216,Priya Reddy,Hyderabad,Helper,Operations,Male,25,2025-09-25,Active,19664,Morning
EMP0217,Arjun Kumar,Hyderabad,WM Technician,Operations,Male,24,2023-06-24,Active,29723,Evening
EMP0218,Ankit Das,Hyderabad,Helper,Operations,Male,47,2021-04-20,Active,21714,General
EMP0219,Suresh Kumar,Hyderabad,Helper,Operations,Male,31,2021-05-04,Active,18103,General
EMP0220,Rohit Patel,Hyderabad,Helper,Operations,Male,42,2025-11-12,Active,22237,General
EMP0221,Priya Reddy,Hyderabad,Helper,Operations,Male,37,2021-04-28,Active,24319,Morning
EMP0222,Ravi Nair,Hyderabad,RF Technician,Operations,Male,24,2022-12-13,Active,37447,General
EMP0223,Vijay Roy,Hyderabad,Helper,Operations,Male,43,2020-08-15,Active,22092,General
EMP0224,Amit Singh,Hyderabad,AC Technician,Operations,Male,26,2026-06-08,Active,41044,General
EMP0225,Arjun Kumar,Hyderabad,WM Technician,Operations,Male,20,2020-06-29,Active,31034,Morning
EMP0226,Anjali Singh,Hyderabad,Helper,Operations,Male,44,2021-09-06,Active,19466,Morning
EMP0227,Sneha Sharma,Hyderabad,WM Technician,Operations,Male,46,2023-08-03,Active,26222,Morning
EMP0228,Ankit Reddy,Hyderabad,AC Technician,Operations,Male,23,2022-01-04,Active,33656,General
EMP0229,Priya Sharma,Hyderabad,WM Technician,Operations,Male,49,2023-03-02,Active,30336,Evening
EMP0230,Deepak Saha,Hyderabad,RF Technician,Operations,Male,20,2024-02-20,Active,31287,Evening
EMP0231,Arjun Patel,Hyderabad,RF Technician,Operations,Male,43,2025-07-13,Active,31201,General
EMP0232,Sneha Kumar,Hyderabad,AC Technician,Operations,Male,46,2020-04-07,Active,33817,General
EMP0233,Amit Singh,Hyderabad,AC Technician,Operations,Female,20,2024-03-21,Active,41914,Evening
EMP0234,Suresh Das,Hyderabad,RF Technician,Operations,Male,35,2024-09-15,Active,36061,Morning
EMP0235,Sneha Nair,Hyderabad,Helper,Operations,Male,34,2025-10-29,Active,21383,General
EMP0236,Suresh Reddy,Hyderabad,Helper,Operations,Female,25,2026-07-06,Active,18782,General
EMP0237,Deepak Das,Hyderabad,RF Technician,Operations,Male,23,2024-11-16,Active,30141,Morning
EMP0238,Rohit Singh,Hyderabad,AC Technician,Operations,Female,45,2023-08-29,Active,35211,Evening
EMP0239,Suresh Sharma,Hyderabad,AC Technician,Operations,Male,32,2021-07-11,Active,39579,Morning
EMP0240,Sneha Singh,Hyderabad,AC Technician,Operations,Male,49,2023-07-10,Active,36660,Morning
EMP0241,Ravi Patel,Hyderabad,Helper,Operations,Male,49,2022-12-21,Active,24983,Morning
EMP0242,Suresh Sharma,Hyderabad,Helper,Operations,Male,39,2020-06-14,Active,19761,Evening
EMP0243,Deepak Das,Hyderabad,AC Technician,Operations,Male,42,2024-06-11,Active,38412,Morning
EMP0244,Neha Gupta,Hyderabad,WM Technician,Operations,Female,31,2020-05-07,Active,31799,Evening
EMP0245,Suresh Sharma,Hyderabad,RF Technician,Operations,Male,35,2021-01-22,Active,35570,Morning
EMP0246,Sneha Sharma,Hyderabad,Helper,Operations,Male,34,2021-06-19,Active,19623,Evening
EMP0247,Kiran Nair,Hyderabad,AC Technician,Operations,Male,36,2020-11-03,Active,30357,Morning
EMP0248,Neha Kumar,Hyderabad,Helper,Operations,Male,25,2023-09-20,Active,19003,Morning
EMP0249,Pooja Reddy,Hyderabad,WM Technician,Operations,Male,47,2024-06-05,Active,28064,Morning
EMP0250,Neha Patel,Hyderabad,Helper,Operations,Male,33,2022-02-05,Active,20252,Evening
EMP0251,Kavya Kumar,Hyderabad,AC Technician,Operations,Male,35,2023-04-23,Active,38173,Evening
EMP0252,Arjun Gupta,Hyderabad,AC Technician,Operations,Male,44,2021-07-16,Active,36868,Morning
EMP0253,Kavya Roy,Hyderabad,WM Technician,Operations,Male,44,2024-01-10,Active,27929,General
EMP0254,Vijay Kumar,Hyderabad,RF Technician,Operations,Female,52,2023-08-10,Active,34363,Evening
EMP0255,Ankit Nair,Hyderabad,WM Technician,Operations,Male,34,2020-04-30,Active,31338,Evening
EMP0256,Arjun Das,Hyderabad,AC Technician,Operations,Male,34,2021-10-15,Active,31640,Morning
EMP0257,Sneha Patel,Hyderabad,Helper,Operations,Male,23,2022-06-17,Active,22716,Evening
EMP0258,Rahul Roy,Hyderabad,WM Technician,Operations,Male,40,2024-01-09,Active,31487,General
EMP0259,Kavya Gupta,Hyderabad,WM Technician,Operations,Female,29,2026-04-25,Active,31769,Morning
EMP0260,Arjun Saha,Hyderabad,RF Technician,Operations,Male,51,2020-06-04,Active,29478,Morning
EMP0261,Kiran Patel,Hyderabad,AC Technician,Operations,Male,53,2025-05-11,Active,30011,Evening
EMP0262,Suresh Saha,Hyderabad,Helper,Operations,Male,31,2023-08-18,Active,18487,Morning
EMP0263,Sneha Sharma,Hyderabad,Helper,Operations,Male,29,2021-03-30,Active,24934,General
EMP0264,Deepak Roy,Hyderabad,Helper,Operations,Male,45,2026-07-28,Active,18827,Evening
EMP0265,Kavya Roy,Hyderabad,WM Technician,Operations,Male,30,2024-11-24,Active,30486,General
EMP0266,Vijay Reddy,Hyderabad,AC Technician,Operations,Male,55,2024-01-01,Active,33657,General
EMP0267,Rahul Saha,Hyderabad,WM Technician,Operations,Male,38,2021-06-05,Active,25455,General
